PassengerId,Survived,Pclass,Name,Sex,Age,Fare
1,0,3,Passenger_1,female,31.0,161.58
2,1,1,Passenger_2,male,55.0,92.76
3,0,1,Passenger_3,female,,165.39
4,0,3,Passenger_4,female,17.0,32.84
5,0,1,Passenger_5,female,32.1,113.45
6,1,3,Passenger_6,male,31.7,11.09
7,0,2,Passenger_7,female,2.6,71.67
8,0,1,Passenger_8,female,34.3,79.63
9,0,2,Passenger_9,male,32.2,85.27
10,1,3,Passenger_10,female,,142.14
11,0,2,Passenger_11,male,57.2,83.83
12,0,2,Passenger_12,female,48.5,95.25
13,0,3,Passenger_13,male,31.8,55.13
14,0,2,Passenger_14,male,21.7,80.92
15,1,2,Passenger_15,female,65.9,53.18
16,0,3,Passenger_16,male,35.7,23.91
17,1,2,Passenger_17,male,35.2,124.66
18,1,3,Passenger_18,male,34.7,136.96
19,1,2,Passenger_19,male,37.4,127.7
20,0,3,Passenger_20,male,33.3,98.06
21,1,3,Passenger_21,male,28.1,82.16
22,0,2,Passenger_22,female,28.4,174.03
23,1,2,Passenger_23,male,34.6,108.63
24,1,2,Passenger_24,male,28.5,101.04
25,1,1,Passenger_25,female,26.4,14.87
26,1,1,Passenger_26,female,36.3,74.84
27,1,1,Passenger_27,female,31.9,82.24
28,1,3,Passenger_28,female,53.0,85.78
29,1,2,Passenger_29,female,3.2,120.23
30,1,3,Passenger_30,female,48.1,111.38
31,0,1,Passenger_31,female,50.0,125.5
32,0,2,Passenger_32,male,10.1,155.33
33,1,3,Passenger_33,male,30.9,164.47
34,1,2,Passenger_34,female,30.5,146.44
35,1,3,Passenger_35,male,18.1,191.55
36,0,2,Passenger_36,male,25.7,13.46
37,1,1,Passenger_37,male,21.7,47.2
38,0,1,Passenger_38,female,56.0,11.44
39,0,2,Passenger_39,female,46.2,133.02
40,0,3,Passenger_40,male,50.3,180.63
41,0,1,Passenger_41,female,43.7,56.26
42,0,1,Passenger_42,male,21.5,186.14
43,1,1,Passenger_43,male,28.7,21.45
44,1,2,Passenger_44,male,40.9,187.54
45,1,2,Passenger_45,male,20.3,76.81
46,1,3,Passenger_46,female,43.6,29.27
47,1,3,Passenger_47,female,32.1,102.32
48,0,3,Passenger_48,female,30.5,58.79
49,1,2,Passenger_49,male,43.5,64.13
50,1,2,Passenger_50,female,40.3,68.39
51,0,3,Passenger_51,male,30.7,162.57
52,1,3,Passenger_52,female,48.9,112.44
53,0,2,Passenger_53,male,22.0,69.15
54,1,3,Passenger_54,male,42.4,125.96
55,0,1,Passenger_55,male,42.1,146.07
56,1,2,Passenger_56,female,,61.8
57,1,3,Passenger_57,female,38.9,88.57
58,0,2,Passenger_58,female,20.0,33.16
59,0,1,Passenger_59,female,46.1,44.42
60,0,2,Passenger_60,male,32.8,139.41
61,0,2,Passenger_61,female,28.7,44.47
62,0,2,Passenger_62,female,47.6,109.78
63,0,2,Passenger_63,male,26.5,144.72
64,0,1,Passenger_64,male,18.1,30.31
65,0,2,Passenger_65,male,16.3,117.79
66,1,2,Passenger_66,female,42.3,58.75
67,1,3,Passenger_67,male,19.6,192.96
68,0,2,Passenger_68,male,56.1,101.87
