sepal_length,sepal_width,petal_length,petal_width,species
7.3,2.5,6.3,2.2,versicolor
5.6,2.1,5.2,1.4,virginica
5.6,2.5,6.5,0.6,versicolor
6.0,3.0,4.6,0.7,setosa
5.9,3.8,3.8,0.8,virginica
7.9,2.5,1.4,1.5,virginica
6.3,3.7,5.0,0.2,setosa
4.6,4.1,4.4,1.6,virginica
6.5,3.1,6.8,1.0,versicolor
4.8,4.0,2.4,0.8,versicolor
4.4,3.3,4.1,2.2,versicolor
7.8,3.5,4.8,1.2,versicolor
7.1,3.3,4.8,0.3,setosa
7.8,3.1,4.3,2.1,virginica
6.0,2.6,5.6,0.2,versicolor
6.2,2.7,2.2,1.8,setosa
4.9,2.7,5.3,2.0,virginica
5.2,3.4,4.7,0.9,virginica
7.3,2.3,6.3,2.1,setosa
5.6,4.2,6.0,1.3,setosa
7.3,3.7,2.9,1.2,versicolor
6.9,3.0,2.6,0.2,virginica
4.9,2.4,6.8,0.8,virginica
6.1,4.1,4.1,2.3,setosa
6.7,4.0,6.3,1.0,virginica
5.1,3.7,2.0,1.4,versicolor
7.3,2.7,4.8,1.4,virginica
6.3,3.0,5.8,1.5,setosa
4.9,2.2,6.6,0.2,setosa
6.4,2.5,3.0,1.0,versicolor
7.9,3.9,5.3,1.8,versicolor
4.8,3.7,4.2,0.6,virginica
7.2,3.4,1.4,0.6,virginica
5.0,4.1,5.1,0.1,setosa
7.1,3.4,5.1,1.1,versicolor
6.9,3.1,6.5,2.2,versicolor
5.4,2.8,3.9,0.2,versicolor
5.5,4.3,2.4,0.6,virginica
7.2,2.2,1.3,0.8,versicolor
6.0,4.2,3.5,1.9,setosa
6.9,4.0,2.8,1.6,setosa
4.8,2.3,5.5,1.1,virginica
7.4,3.4,3.1,1.9,virginica
6.9,4.1,6.6,1.6,versicolor
7.6,3.4,6.7,2.3,virginica
4.8,4.2,4.7,2.1,setosa
6.4,4.3,6.5,0.7,versicolor
6.5,3.0,5.5,0.8,setosa
5.6,2.9,4.2,0.4,versicolor
6.0,4.2,2.1,0.9,virginica
4.4,3.6,3.7,2.5,versicolor
7.0,2.3,4.3,1.1,versicolor
6.3,2.1,6.1,0.6,setosa
4.5,3.4,3.8,1.9,setosa
6.8,4.2,6.3,1.4,versicolor
