date,region,sales,profit
2025-08-27,West,6645,655
2025-03-13,East,9943,455
2025-05-23,South,8124,1663
2025-11-06,East,4732,1140
2025-10-10,South,3283,2786
2025-09-26,North,9669,478
2025-08-29,North,7998,779
2025-09-02,West,6413,2653
2025-06-12,South,2269,1879
2025-03-01,North,8868,998
2025-01-06,South,3603,175
2025-07-16,North,6961,330
2025-02-27,East,9569,1839
2025-11-01,North,8557,1061
2025-08-05,West,2680,2449
2025-01-26,East,9433,2873
2025-10-30,West,6682,2362
2025-01-05,East,9084,2216
2025-01-20,South,6367,492
2025-07-17,West,1069,1208
2025-02-28,North,4924,366
2025-08-30,South,7200,1192
2025-05-26,North,3007,710
2025-09-30,East,9992,1470
2025-09-06,East,9119,1108
2025-01-14,North,3779,1061
2025-01-13,North,5920,2875
2025-02-13,South,1755,772
2025-01-19,North,7495,2570
2025-03-04,West,6935,1800
2025-08-27,West,3330,2262
2025-12-03,North,6705,2367
2025-04-10,West,9301,130
2025-06-12,North,2016,1466
2025-05-02,South,8347,1500
2025-02-13,West,9216,1253
2025-12-26,West,5938,716
2025-11-13,North,3838,638
2025-05-25,West,1737,2886
2025-11-23,East,7200,970
2025-12-29,South,9371,200
2025-02-19,South,1231,1512
2025-03-06,West,2917,2839
2025-12-21,West,9534,1040
2025-10-15,East,6918,440
2025-06-13,East,3623,1143
2025-05-21,West,9646,137
2025-11-10,West,7401,759
2025-05-08,East,8072,2133
2025-08-27,North,3276,1660
2025-11-20,East,8393,1756
2025-10-23,North,9787,1149
2025-07-06,South,4874,553
2025-07-27,South,5530,1804
2025-08-08,East,8164,1446
2025-07-09,North,5497,2884
2025-12-12,East,8933,918
2025-10-11,East,3135,872
2025-12-18,North,7727,112
2025-08-25,East,2565,1020
2025-07-13,South,1308,924
2025-10-14,West,9534,2518
2025-09-16,West,9627,1414
2025-09-03,East,9368,2479
2025-05-16,North,1138,2408
2025-10-07,North,1193,2117
2025-09-28,South,4257,1328
2025-06-20,North,4235,796
2025-06-08,North,1942,2834
2025-07-20,South,5620,1049
2025-02-14,East,6720,2534
2025-09-21,West,7353,2968
2025-03-12,South,5957,2615
2025-12-30,East,4381,1538
2025-04-13,South,6839,168
2025-05-05,East,3880,1881
2025-11-09,South,5887,2347
2025-10-13,East,1545,2363
2025-08-18,South,2927,2069
2025-05-26,East,5152,311
2025-07-16,South,1004,607
2025-08-09,West,6533,2163
2025-03-01,West,6378,1621
2025-04-08,North,7233,431
2025-06-20,East,3663,2864
2025-06-22,South,4326,650
2025-05-31,East,4659,1724
2025-12-16,West,2131,1041
2025-05-02,East,5763,2403
2025-04-18,South,7737,827
2025-01-04,East,6092,979
2025-04-03,South,7022,2962
2025-01-06,West,4159,748
2025-10-15,West,7159,1099
2025-04-16,West,8318,1621
2025-05-26,North,9445,2618
2025-09-28,West,6307,2837
2025-04-06,East,9520,1712
2025-08-17,North,4044,2847
2025-07-21,West,6636,2654
2025-07-31,East,3892,1109
2025-01-06,East,6288,1650
2025-04-22,East,6812,903
2025-11-19,South,1654,2978
2025-04-16,North,6481,313
2025-05-19,East,1759,268
2025-10-26,South,7782,1077
2025-04-06,West,2798,1428
