order_date,product,quantity,revenue,profit
2025-04-05,Laptop,1,24846,5547
2024-07-26,Keyboard,3,9119,4747
2025-12-17,Phone,9,11664,2440
2025-10-25,Tablet,5,39378,7272
2025-03-13,Laptop,9,7455,7983
2025-06-21,Tablet,9,606,1515
2025-12-06,Tablet,6,5254,7902
2024-12-01,Monitor,1,44793,452
2025-02-25,Monitor,7,22162,6990
2024-11-16,Tablet,6,6908,2720
2025-05-11,Laptop,9,40903,8145
2025-08-09,Phone,7,1725,8418
2024-06-11,Phone,4,12696,4594
2025-06-24,Keyboard,7,4750,8984
2024-06-13,Keyboard,2,15872,5710
2025-11-28,Phone,6,17779,6124
2025-07-19,Tablet,6,45365,2398
2024-10-21,Tablet,2,30693,6900
2024-02-11,Monitor,4,45323,4452
2024-10-11,Monitor,8,27368,800
2025-01-21,Keyboard,8,38687,9110
2024-05-17,Phone,8,48981,4112
2024-07-05,Tablet,8,28975,7484
2025-12-16,Phone,1,45052,8455
2025-03-06,Laptop,2,2933,1667
2025-07-07,Phone,4,11498,2580
2025-02-19,Laptop,9,44843,3383
2025-03-01,Monitor,3,31633,7284
2025-02-19,Monitor,6,34569,9839
2024-01-26,Keyboard,7,7358,5818
2025-01-05,Phone,8,9450,7757
2025-01-19,Phone,7,9438,561
2024-02-25,Laptop,3,25668,5132
2024-09-09,Monitor,6,32599,6910
2025-09-25,Laptop,5,6144,302
2024-04-15,Monitor,4,44346,4183
2024-05-09,Laptop,1,9760,8870
2025-10-31,Monitor,7,47958,3526
2025-01-10,Laptop,8,36575,9228
2024-11-03,Monitor,2,16988,1775
2024-03-31,Laptop,7,895,2143
2025-01-27,Phone,6,11345,1751
2025-06-17,Keyboard,5,36559,8546
2024-04-19,Laptop,4,18894,5884
2025-07-14,Keyboard,2,28957,4390
2025-10-02,Phone,6,46406,2857
2025-08-07,Phone,5,37805,6351
2024-12-05,Monitor,2,43128,7622
2025-07-18,Keyboard,7,21852,1074
2024-12-21,Tablet,6,21646,3025
2024-06-16,Monitor,9,17935,8748
2025-07-10,Keyboard,5,39886,4906
2025-03-27,Laptop,9,37991,6774
2024-04-14,Laptop,9,20468,9295
2024-05-29,Phone,1,48105,2617
2024-05-25,Tablet,5,9039,4637
2025-12-16,Laptop,9,1763,4972
2024-10-25,Keyboard,7,13805,5096
2024-06-15,Keyboard,6,24898,2944
2025-12-13,Laptop,6,44202,7253
2025-10-07,Keyboard,7,32580,7528
2025-12-23,Keyboard,1,10765,5324
2024-02-17,Phone,4,49607,9342
2025-09-29,Tablet,1,32652,9878
2024-08-26,Phone,6,28224,9697
2024-01-07,Tablet,4,31124,3663
2025-04-08,Keyboard,1,34619,88
2025-03-28,Tablet,9,40458,3134
2025-01-05,Keyboard,4,29889,6315
2025-07-02,Keyboard,6,17150,6648
2025-05-01,Phone,7,26514,2465
2024-07-29,Phone,8,11385,808
2024-06-13,Monitor,9,7934,4392
2024-05-04,Laptop,9,30528,7116
2024-12-02,Monitor,8,1522,3166
2024-07-10,Monitor,3,24831,814
2025-12-30,Tablet,2,2537,9556
2024-08-01,Keyboard,5,9256,4079
2025-07-27,Keyboard,1,46826,6495
2024-11-23,Keyboard,3,17943,7493
2025-01-15,Laptop,1,34692,1367
2025-11-03,Tablet,3,4623,750
2025-07-31,Tablet,4,17103,7577
2024-08-26,Keyboard,7,905,4433
2025-06-15,Monitor,5,43097,1643
2025-11-30,Laptop,5,19202,4195
2024-03-22,Monitor,1,43219,9472
2024-12-28,Phone,8,26750,6757
2025-05-19,Tablet,4,42251,7047
2024-07-20,Tablet,5,21942,7076
2025-05-18,Monitor,2,18193,2662
2025-10-05,Laptop,1,24505,7449
2024-02-06,Tablet,9,45293,1958
2025-10-05,Monitor,2,38197,7004
2025-08-11,Laptop,6,29488,1840
2025-08-23,Monitor,1,32833,8218
2025-02-05,Laptop,1,30492,2978
2025-12-06,Keyboard,9,10022,9330
2024-06-24,Laptop,4,45906,7731
2025-06-28,Phone,9,41970,5301
2025-07-23,Keyboard,5,44032,4177
2025-04-11,Monitor,7,12621,5013
2024-07-19,Keyboard,1,14719,5361
2025-06-23,Keyboard,6,2117,9407
2025-06-30,Monitor,8,43516,8842
2025-09-28,Monitor,1,24776,2075
2025-01-28,Phone,9,34851,9826
2024-02-11,Monitor,3,7204,7865
2025-08-19,Tablet,1,41256,1037
2025-01-27,Tablet,1,18459,5360
2025-11-30,Phone,6,29022,2015
2025-09-14,Laptop,6,10453,7366
2025-03-16,Laptop,1,27067,9681
2025-09-08,Tablet,3,23060,918
2025-05-20,Monitor,7,3113,2113
2024-11-15,Phone,3,37160,1179
2025-07-06,Laptop,3,45604,4428
2024-08-02,Laptop,3,40001,5204
2024-03-11,Keyboard,7,37699,6306
2025-07-21,Tablet,4,24996,6501
2024-08-23,Monitor,4,18265,1984
2024-10-07,Phone,3,26221,1126
2025-09-08,Laptop,9,4015,5250
2024-06-10,Keyboard,2,4954,1689
2024-07-09,Tablet,4,41037,9634
2024-01-09,Tablet,8,23373,6435
2024-02-29,Phone,6,8884,8272
2024-08-12,Laptop,7,14227,8046
2025-11-30,Phone,7,4034,753
2025-08-04,Phone,2,34023,9110
2024-10-13,Keyboard,4,32389,5530
2024-06-17,Tablet,6,25965,8474
2024-03-02,Monitor,3,31093,7827
2024-12-14,Tablet,9,21830,5412
2025-03-17,Tablet,4,8802,1000
2024-01-14,Keyboard,2,13407,8300
2024-06-12,Monitor,6,24930,2868
2025-02-23,Laptop,1,42252,3650
2025-06-03,Monitor,6,47653,8543
2025-10-27,Laptop,1,7681,7895
2025-07-01,Monitor,8,46713,2994
2025-07-13,Phone,5,13375,6305
2025-08-19,Monitor,6,27719,7630
2024-01-28,Keyboard,2,36682,8558
2025-12-08,Laptop,2,15505,5314
2025-03-21,Tablet,9,42769,7568
2024-07-26,Keyboard,3,14745,8172
2025-04-14,Laptop,6,6957,1228
2025-12-16,Laptop,5,7249,3905
2024-04-13,Tablet,4,33564,8573
2025-03-01,Phone,2,10321,6087
2024-04-10,Keyboard,8,33261,577
2025-06-24,Tablet,7,38551,2109
2025-09-30,Tablet,2,13619,9340
2025-06-05,Phone,6,8164,261
2024-04-15,Keyboard,8,29781,1764
2025-11-09,Tablet,7,40779,2738
2024-10-03,Phone,1,32321,3316
2024-03-05,Keyboard,5,38733,5199
2024-07-06,Monitor,2,25147,9274
2024-11-12,Laptop,6,45825,1382
2024-05-17,Phone,7,4882,6870
2024-12-08,Laptop,7,16949,5941
2024-04-14,Monitor,3,17763,4736
2025-06-29,Tablet,7,25143,4141
2025-01-14,Tablet,5,9908,493
2024-04-19,Keyboard,8,24106,9740
2025-06-28,Phone,8,28103,976
2024-12-19,Phone,7,46958,6296
2024-11-12,Keyboard,6,5569,672
2024-09-22,Laptop,2,20123,9721
2025-11-24,Tablet,6,44940,3087
2024-03-05,Tablet,9,17391,283
2024-11-28,Phone,2,8204,9859
2025-05-27,Phone,1,28790,2741
2024-05-12,Keyboard,5,27960,7452
2025-08-14,Monitor,6,18009,436
2025-06-23,Laptop,3,17769,1684
2025-06-18,Monitor,8,8475,8160
2025-05-10,Monitor,7,45337,4183
2025-09-12,Phone,2,7065,9426
2025-09-10,Phone,7,22967,5631
2025-10-18,Phone,1,5370,2017
2025-01-03,Monitor,9,19409,5618
2025-10-12,Laptop,7,9617,7334
2024-04-08,Phone,6,2438,8482
2024-11-12,Tablet,2,28890,5195
2024-05-02,Laptop,3,44822,5817
2024-11-15,Tablet,1,36500,8803
2025-08-15,Laptop,5,20628,2049
2025-05-09,Phone,9,32281,4951
2025-04-01,Keyboard,6,3965,2829
2025-06-05,Phone,5,940,9917
2025-06-03,Monitor,3,5913,6242
2025-12-17,Monitor,5,12163,1727
2024-11-10,Laptop,8,39023,9893
2025-12-09,Monitor,2,38280,4227
2025-12-10,Phone,5,20047,7261
2025-06-25,Tablet,6,16626,7923
2025-04-23,Phone,8,40020,3891
2024-01-20,Laptop,8,505,7148
2025-07-13,Monitor,5,38044,6466
2024-05-09,Tablet,9,7538,4935
2024-10-19,Keyboard,4,6914,644
2024-05-11,Tablet,9,22623,2662
2024-12-21,Tablet,7,4470,6409
2024-02-23,Phone,6,11550,1546
2025-01-21,Keyboard,4,3106,3605
2024-09-21,Laptop,2,16982,4911
2024-08-02,Laptop,8,33793,4816
2025-04-04,Tablet,6,6837,3408
2025-04-02,Tablet,3,34448,9843
2024-02-12,Monitor,7,24951,964
2025-08-08,Keyboard,7,26765,1894
2024-10-04,Tablet,6,26214,2045
2024-05-09,Monitor,2,21375,7675
2024-12-15,Keyboard,8,13557,144
2025-12-06,Laptop,1,32900,8734
2025-06-27,Monitor,1,6422,3119
2024-04-15,Keyboard,6,3571,199
2025-12-16,Monitor,5,22525,1096
2024-01-01,Tablet,9,28003,2853
2025-08-06,Phone,7,24265,5384
2025-03-07,Laptop,2,36060,8640
2024-11-01,Tablet,7,47112,4526
2025-06-10,Tablet,3,33282,7326
2024-02-22,Keyboard,1,19299,601
2025-06-03,Monitor,8,35953,8536
2024-11-25,Laptop,3,27976,1193
2025-07-11,Tablet,8,16712,505
2024-11-20,Keyboard,7,9928,9795
2024-04-23,Laptop,2,31919,8410
2024-05-26,Monitor,1,8659,1996
2024-06-14,Tablet,7,24810,6165
2025-01-13,Tablet,1,37368,7360
2024-05-18,Tablet,6,39642,6230
2025-09-20,Laptop,8,6504,5867
2024-10-25,Laptop,7,38789,5430
2024-10-02,Laptop,4,11912,6424
2024-06-26,Laptop,1,12255,8495
2024-12-19,Keyboard,1,19517,8120
2024-06-02,Phone,4,4390,1370
2024-07-19,Keyboard,5,29340,7173
2024-04-24,Tablet,7,17675,6203
2025-11-01,Keyboard,4,9691,6639
2025-07-07,Monitor,1,651,3657
2024-03-08,Laptop,7,19947,450
2025-03-20,Monitor,2,23251,6092
2025-03-20,Monitor,2,29675,412
2024-11-21,Tablet,8,24788,3901
2025-12-08,Laptop,5,47129,3462
2025-08-24,Monitor,2,48300,134
2025-09-14,Tablet,5,37867,1874
2024-12-24,Laptop,8,12774,8549
2024-05-24,Phone,6,12718,8872
2024-10-01,Tablet,3,24292,4825
2025-05-23,Keyboard,8,3477,7918
2024-06-27,Laptop,9,17726,7669
2025-04-21,Monitor,5,29522,7468
2025-02-17,Monitor,2,4293,2421
2024-06-01,Keyboard,2,2159,7118
2024-04-13,Keyboard,7,38430,3350
2024-03-15,Monitor,1,43973,5871
2024-05-07,Laptop,2,16540,7853
2025-12-11,Tablet,4,4770,7514
2025-10-27,Keyboard,1,13786,776
2025-07-21,Keyboard,4,4103,7171
2024-12-10,Keyboard,5,47040,9890
2025-06-14,Phone,9,18100,4362
2024-06-07,Laptop,1,2791,8050
2025-06-21,Laptop,5,13623,9511
2025-03-01,Laptop,2,4311,4593
2025-11-11,Laptop,9,13847,8064
2024-01-23,Laptop,6,31776,368
2024-02-16,Monitor,2,47119,3525
2025-06-08,Keyboard,3,16013,5203
2025-12-29,Monitor,8,5642,4184
2025-12-06,Phone,1,23746,1652
2024-05-23,Tablet,3,26007,2306
2025-08-07,Keyboard,1,27214,9071
2025-10-29,Phone,8,12694,9097
2025-08-11,Monitor,1,8026,7369
2025-02-22,Tablet,5,19862,7582
2025-11-11,Phone,4,46781,7416
2024-03-25,Tablet,7,45352,2698
2025-02-19,Phone,5,46617,6953
2025-11-24,Monitor,8,48336,1908
2025-04-26,Tablet,1,5095,1152
2025-03-31,Phone,5,30894,2531
2024-10-23,Monitor,4,15902,1870
2024-04-21,Keyboard,3,27640,3208
2024-08-17,Monitor,5,23095,3734
2024-04-05,Monitor,3,43223,7461
2025-11-10,Keyboard,8,47264,9497
2025-01-12,Monitor,3,25411,3701
2024-06-04,Keyboard,1,26252,7757
2025-02-24,Keyboard,9,19905,8511
2024-04-14,Keyboard,9,24720,8157
2025-12-05,Phone,6,34453,6931
2024-11-25,Tablet,1,36553,6270
2025-03-14,Phone,8,3947,4880
2024-05-11,Keyboard,2,11162,5029
2025-01-16,Tablet,9,5399,7384
2024-05-17,Tablet,8,29082,3825
2024-09-26,Keyboard,3,49328,9354
2025-07-03,Tablet,5,2435,698
2025-01-30,Tablet,9,42713,9421
2025-07-10,Phone,1,42542,66
2025-04-08,Tablet,9,10835,8358
2025-11-05,Keyboard,4,18169,6526
2025-03-25,Laptop,4,9045,5992
2024-11-26,Laptop,4,40747,1595
2024-09-09,Laptop,9,38523,2743
2025-11-11,Keyboard,6,18769,7649
2024-10-11,Laptop,8,38330,4139
2024-09-30,Phone,4,7566,6309
2024-01-20,Keyboard,3,11212,5108
2024-08-26,Keyboard,1,16491,9518
2024-09-26,Keyboard,7,36290,3290
2025-02-21,Tablet,4,22149,4992
2024-11-05,Tablet,8,34815,3838
2024-01-31,Tablet,3,31306,7003
2024-04-13,Monitor,1,12710,421
2025-11-12,Phone,5,37472,7070
2024-07-04,Keyboard,2,40858,7170
2024-05-07,Keyboard,3,34636,5752
2024-07-28,Tablet,6,44797,8397
2025-02-17,Keyboard,3,16445,2711
2024-10-07,Keyboard,3,30165,7230
2024-09-09,Laptop,6,42977,6701
2024-01-19,Keyboard,5,14144,8706
2025-12-12,Monitor,9,5417,4928
2024-05-15,Tablet,1,20368,4365
2024-08-10,Phone,3,12377,6208
2024-01-03,Phone,3,13724,8358
2024-08-23,Laptop,6,3552,6524
2025-04-09,Phone,8,27772,1424
2024-08-15,Phone,3,41650,7443
2025-10-15,Tablet,3,31168,4453
2025-05-13,Tablet,6,17816,3596
2025-06-04,Monitor,8,7740,4027
2025-12-02,Laptop,6,32059,9438
2025-11-07,Phone,3,3738,3461
2024-05-18,Monitor,4,43675,9038
2024-10-02,Laptop,1,1065,3942
2024-10-17,Phone,8,22262,7374
2024-02-22,Phone,4,6058,8392
2025-11-17,Tablet,6,16875,3299
2024-04-19,Keyboard,3,26210,161
2025-12-15,Laptop,6,11603,732
2025-10-09,Phone,9,15674,1211
2024-01-04,Laptop,9,41990,7450
2025-10-28,Monitor,3,22293,2429
2025-11-14,Monitor,3,28097,5476
2024-02-16,Keyboard,4,9253,8402
2024-04-03,Phone,7,38897,1475
2025-07-13,Tablet,3,6818,3711
2024-07-31,Phone,8,33569,8519
2025-03-11,Laptop,8,20651,9798
2025-05-22,Monitor,6,40774,7090
2025-10-12,Laptop,4,9201,4642
2024-07-23,Keyboard,5,7462,7580
2025-01-15,Monitor,2,38697,3157
2024-03-13,Tablet,6,49134,352
2025-05-30,Monitor,3,30541,4583
2024-03-16,Phone,6,7748,2823
2024-03-17,Phone,5,20329,7249
2025-02-13,Monitor,2,2703,4331
2025-09-05,Keyboard,5,25870,4818
2024-04-15,Phone,5,35747,1050
2025-07-04,Phone,9,10886,1768
2025-04-20,Tablet,8,934,7219
2024-10-01,Monitor,7,43498,7411
2024-03-28,Phone,3,34974,3880
2025-12-23,Keyboard,4,25144,7204
2024-03-17,Laptop,6,38993,5070
2024-03-17,Monitor,3,18788,2932
2025-03-17,Tablet,9,4459,1048
2025-06-23,Phone,8,47789,334
2024-09-01,Keyboard,6,11643,8662
2025-07-31,Monitor,4,40093,2210
2025-01-16,Keyboard,7,39615,3115
2025-12-17,Keyboard,3,46109,1544
2025-07-23,Tablet,8,23040,4673
2025-12-13,Monitor,1,35981,2593
2024-05-21,Phone,3,30469,4850
2025-01-02,Tablet,5,12061,8963
2024-03-24,Phone,5,23078,1451
2024-05-22,Laptop,2,13287,495
2024-12-17,Keyboard,8,7012,4572
2025-06-28,Laptop,5,11096,3817
2024-05-31,Keyboard,7,32246,2601
2024-06-06,Tablet,7,20430,5696
2025-03-21,Phone,5,48450,3938
2025-10-14,Phone,8,30701,4866
2024-10-29,Tablet,9,19187,2781
2025-09-15,Monitor,4,36489,7749
2025-10-17,Laptop,4,30683,2679
2025-03-25,Laptop,8,21258,7737
2025-12-21,Phone,1,1582,1107
