customer_id,age,annual_income,spending_score
1,27,94693,80
2,42,131555,67
3,64,57760,20
4,53,99182,74
5,65,130174,62
6,64,147192,58
7,32,77966,22
8,61,49024,67
9,57,90323,75
10,57,43202,89
11,67,139414,48
12,23,71524,8
13,54,63908,73
14,19,56067,15
15,29,29360,32
16,21,118228,53
17,40,124755,67
18,30,32941,4
19,34,35993,30
20,48,34620,13
21,33,143271,21
22,58,40193,41
23,43,71559,19
24,45,41248,48
25,18,65852,86
26,64,25027,63
27,29,83410,20
28,54,24260,64
29,67,57596,37
30,37,127076,31
31,19,29012,74
32,53,45823,18
33,32,93851,20
34,55,67027,82
35,39,98167,11
36,61,103794,86
37,67,45099,44
38,49,121427,82
39,37,56992,64
40,53,139942,34
41,50,116912,87
42,32,137886,65
43,67,30977,55
44,63,76234,74
45,20,112230,1
46,46,67376,38
47,64,53978,9
48,44,29218,95
49,22,41788,71
50,48,40501,17
51,39,97989,99
52,52,123733,52
53,24,35210,18
54,23,148476,63
55,43,94225,33
56,18,65489,4
57,36,112917,87
58,24,83721,75
59,53,115044,52
60,29,62653,9
61,37,106678,64
62,40,60950,30
63,42,28916,8
64,47,85911,5
65,46,51449,76
66,48,109333,63
67,35,40782,1
68,58,112564,15
69,36,40243,89
70,21,136374,82
71,18,49379,38
72,58,57780,42
73,32,50740,46
74,25,134944,53
75,32,147374,26
76,32,39984,61
77,67,20050,67
78,56,26590,54
79,39,60205,22
80,35,35162,26
81,33,69746,83
82,19,33105,60
83,53,57499,39
84,37,56641,36
85,33,31628,21
86,20,62032,41
87,47,85029,48
88,19,58516,26
89,52,107157,63
90,43,21476,77
91,22,139558,36
92,19,60800,24
93,68,55788,90
94,37,140754,21
95,51,109973,18
96,51,46240,15
97,37,130988,79
98,67,30922,6
99,42,133690,43
100,37,84198,31
101,42,78739,28
102,31,93602,8
103,64,32089,29
104,61,52600,21
105,60,66176,81
106,60,28167,88
107,56,98352,58
108,29,41164,60
109,65,105965,50
110,22,145540,31
111,19,120537,47
112,33,51415,34
113,47,93653,2
114,64,132854,67
115,60,146202,94
116,55,91895,72
117,62,99900,52
118,68,122501,7
119,59,114330,76
120,41,95829,19
121,68,78650,90
122,47,78981,92
123,54,94868,15
124,56,20615,78
125,28,65612,48
126,31,97937,14
127,40,149878,3
128,33,136254,50
129,67,149699,93
130,38,61936,54
131,21,49372,6
132,50,127812,49
133,64,133858,23
134,31,87875,92
135,36,101782,78
136,22,81700,78
137,53,28109,20
138,48,43758,77
139,62,108627,91
140,35,128592,60
141,61,33317,99
142,48,102298,45
143,47,89001,61
144,38,140693,56
145,64,71423,2
146,47,45622,45
147,58,135695,40
148,21,26800,24
149,22,134797,29
150,58,55539,67
151,62,122187,68
152,27,22600,66
153,44,91054,84
154,33,105163,54
155,47,135693,53
156,30,49369,79
157,53,116981,49
158,38,36689,32
159,62,101459,61
160,57,58469,42
161,62,115939,1
162,32,20958,63
163,37,143833,35
164,37,139958,51
165,62,125899,71
166,22,80012,45
167,49,89074,77
168,23,80021,65
169,47,108940,14
170,43,70782,93
171,54,95519,3
172,30,120907,24
173,46,79315,65
174,22,44642,48
175,42,99003,10
176,30,143714,13
177,41,20205,73
178,48,112945,14
179,37,32442,10
180,25,111826,40
181,26,111644,23
182,38,25691,99
183,68,58909,55
184,37,137833,63
185,32,39504,71
186,43,84270,42
187,59,115698,99
188,28,125032,66
189,54,78051,79
190,58,58798,73
191,28,69330,47
192,44,107087,81
193,47,98919,52
194,36,102032,18
195,51,61716,79
196,55,94624,18
197,40,66982,24
198,18,47444,23
199,20,44734,12
200,20,61745,23
201,45,54571,21
202,31,111951,64
203,69,35389,90
204,47,113280,72
205,22,104218,94
206,66,65038,34
207,32,119846,2
208,55,92795,69
209,31,65168,31
210,31,98082,97
211,66,87690,68
212,25,94302,70
213,25,134053,87
214,36,31230,19
215,49,103301,72
216,48,25902,13
217,46,86758,65
218,58,47050,6
219,28,119805,71
220,62,94586,27
221,30,134512,79
222,44,89110,52
223,36,122033,98
224,43,96693,87
225,68,142428,48
226,54,39575,88
227,65,78940,79
228,26,60244,99
229,45,103481,68
230,49,34962,44
231,69,120826,17
232,20,145479,95
233,68,120695,38
234,49,137363,10
235,22,136871,54
236,25,110388,91
237,31,116220,6
238,20,130378,6
239,41,97332,52
240,30,44450,15
241,60,120382,68
242,46,73494,57
243,25,147386,56
244,68,65037,7
245,59,132666,51
246,48,147048,58
247,43,103040,64
248,35,131264,26
249,35,50041,58
250,24,30715,31
251,65,41803,66
252,55,88906,92
253,65,81726,13
254,33,21908,18
255,50,138208,94
256,68,57075,75
257,20,84587,13
258,55,73648,24
259,21,41134,57
260,53,129601,29
261,21,135185,56
262,59,76143,54
263,26,89123,5
264,57,115559,35
265,68,65153,19
266,34,22413,55
267,34,138488,77
268,50,110574,69
269,37,42555,44
270,31,30952,78
271,39,88993,38
272,69,94000,62
273,44,141657,22
274,60,86686,73
275,20,132841,40
276,41,52264,26
277,47,125758,5
278,25,67553,93
279,39,74359,54
280,42,129885,86
281,27,118322,49
282,66,29808,3
283,46,72330,92
284,57,134672,38
285,18,58345,14
286,69,89617,47
287,38,59222,14
288,56,77755,75
289,41,28933,73
290,26,88207,38
291,61,63739,64
292,43,67738,44
293,26,116753,70
294,37,124691,65
295,52,125137,25
296,53,104544,16
297,59,41883,15
298,53,118818,98
299,26,118510,81
300,39,119251,3
301,18,63401,67
302,22,35380,37
303,26,38212,81
304,54,48174,55
305,55,26861,38
306,36,26094,63
307,25,124649,1
308,59,71319,71
309,60,66728,90
310,49,44363,19
311,30,107846,52
312,37,59300,30
313,53,74808,55
314,60,25943,14
315,61,100105,13
316,54,62616,84
317,47,94329,90
318,27,123743,27
319,48,45287,89
320,42,147957,9
321,46,53971,41
322,41,76152,48
323,56,62351,12
324,38,132715,10
325,58,80040,6
326,26,116905,34
327,59,108559,52
328,59,142377,41
329,19,80616,83
330,21,131421,6
331,25,43897,2
332,49,43010,15
333,31,60154,17
334,66,121435,16
335,30,141822,28
336,38,40114,85
337,41,39050,72
338,67,135237,10
339,35,41125,10
340,62,114094,10
341,57,70396,73
342,43,64846,28
343,49,40396,24
344,61,112661,19
345,50,146084,97
346,69,143725,68
347,48,108116,56
348,35,139233,67
349,52,58973,42
350,29,43574,12
351,68,110155,18
352,42,149843,23
353,62,33869,84
354,48,86194,6
355,27,82167,53
356,64,76147,98
357,69,132686,42
358,51,32122,66
359,68,63827,30
360,20,33335,9
361,63,140464,91
362,56,83576,42
363,25,41677,34
364,49,48223,40
365,60,49814,88
366,46,145662,17
367,39,103611,29
368,37,63185,50
369,23,96794,76
370,60,116063,95
371,66,95675,49
372,46,62325,73
373,59,60503,61
374,34,39514,83
375,48,76196,46
376,51,40917,46
377,55,74699,17
378,54,114633,66
379,21,70119,5
380,19,103324,54
381,29,45061,16
382,52,29947,81
383,23,101080,91
384,63,105550,7
385,25,100331,8
386,38,52632,72
387,63,39352,87
388,52,43653,96
389,65,87115,82
390,32,117294,38
391,24,63755,54
392,32,124296,76
393,62,118354,15
394,23,91988,92
