date,sales
2022-01-01,1011.0
2022-01-02,996.0
2022-01-03,973.0
2022-01-04,955.0
2022-01-05,1059.0
2022-01-06,1005.0
2022-01-07,1081.0
2022-01-08,978.0
2022-01-09,984.0
2022-01-10,1047.0
2022-01-11,926.0
2022-01-12,947.0
2022-01-13,1063.0
2022-01-14,950.0
2022-01-15,919.0
2022-01-16,1104.0
2022-01-17,941.0
2022-01-18,1021.0
2022-01-19,1016.0
2022-01-20,873.0
2022-01-21,1000.0
2022-01-22,1037.0
2022-01-23,1033.0
2022-01-24,1061.0
2022-01-25,997.0
2022-01-26,1053.0
2022-01-27,983.0
2022-01-28,948.0
2022-01-29,954.0
2022-01-30,947.0
2022-01-31,1071.0
2022-02-01,946.0
2022-02-02,1036.0
2022-02-03,1009.0
2022-02-04,1018.0
2022-02-05,1092.0
2022-02-06,1003.0
2022-02-07,1056.0
2022-02-08,1028.0
2022-02-09,1019.0
2022-02-10,1142.0
2022-02-11,956.0
2022-02-12,1093.0
2022-02-13,1062.0
2022-02-14,1006.0
2022-02-15,1112.0
2022-02-16,939.0
2022-02-17,1006.0
2022-02-18,972.0
2022-02-19,1054.0
2022-02-20,979.0
2022-02-21,1057.0
2022-02-22,1026.0
2022-02-23,1012.0
2022-02-24,1056.0
2022-02-25,1024.0
2022-02-26,984.0
2022-02-27,1179.0
2022-02-28,1015.0
2022-03-01,930.0
2022-03-02,999.0
2022-03-03,978.0
2022-03-04,1084.0
2022-03-05,1059.0
2022-03-06,1064.0
2022-03-07,1026.0
2022-03-08,1031.0
2022-03-09,1027.0
2022-03-10,1043.0
2022-03-11,1089.0
2022-03-12,1065.0
2022-03-13,1074.0
2022-03-14,1074.0
2022-03-15,1094.0
2022-03-16,1065.0
2022-03-17,1069.0
2022-03-18,1112.0
2022-03-19,1020.0
2022-03-20,1011.0
2022-03-21,995.0
2022-03-22,1064.0
2022-03-23,963.0
2022-03-24,1079.0
2022-03-25,1051.0
2022-03-26,1114.0
2022-03-27,1025.0
2022-03-28,1049.0
2022-03-29,1116.0
2022-03-30,1130.0
2022-03-31,1027.0
2022-04-01,1071.0
2022-04-02,1077.0
2022-04-03,1082.0
2022-04-04,1051.0
2022-04-05,1129.0
2022-04-06,971.0
2022-04-07,1045.0
2022-04-08,1089.0
2022-04-09,1090.0
2022-04-10,1136.0
2022-04-11,1128.0
2022-04-12,1055.0
2022-04-13,1135.0
2022-04-14,1035.0
2022-04-15,1118.0
2022-04-16,1163.0
2022-04-17,1133.0
2022-04-18,1079.0
2022-04-19,1057.0
2022-04-20,998.0
2022-04-21,1091.0
2022-04-22,1020.0
2022-04-23,1037.0
2022-04-24,1018.0
2022-04-25,1055.0
2022-04-26,1077.0
2022-04-27,1093.0
2022-04-28,1050.0
2022-04-29,1134.0
2022-04-30,1071.0
2022-05-01,1043.0
2022-05-02,1094.0
2022-05-03,1182.0
2022-05-04,1101.0
2022-05-05,1067.0
2022-05-06,1009.0
2022-05-07,1075.0
2022-05-08,1099.0
2022-05-09,1068.0
2022-05-10,1005.0
2022-05-11,1047.0
2022-05-12,1163.0
2022-05-13,1162.0
2022-05-14,1047.0
2022-05-15,1126.0
2022-05-16,1034.0
2022-05-17,1163.0
2022-05-18,1106.0
2022-05-19,1142.0
2022-05-20,1010.0
2022-05-21,1130.0
2022-05-22,1096.0
2022-05-23,1140.0
2022-05-24,1144.0
2022-05-25,1102.0
2022-05-26,1069.0
2022-05-27,1139.0
2022-05-28,1098.0
2022-05-29,1058.0
2022-05-30,1056.0
2022-05-31,1029.0
2022-06-01,1078.0
2022-06-02,1159.0
2022-06-03,1114.0
2022-06-04,1079.0
2022-06-05,1147.0
2022-06-06,1065.0
2022-06-07,1112.0
2022-06-08,1099.0
2022-06-09,1148.0
2022-06-10,1031.0
2022-06-11,1068.0
2022-06-12,1029.0
2022-06-13,1099.0
2022-06-14,1173.0
2022-06-15,1088.0
2022-06-16,1088.0
2022-06-17,1158.0
2022-06-18,1169.0
2022-06-19,1111.0
2022-06-20,1151.0
2022-06-21,1063.0
2022-06-22,1187.0
2022-06-23,1226.0
2022-06-24,1145.0
2022-06-25,1016.0
2022-06-26,1093.0
2022-06-27,1152.0
2022-06-28,1101.0
2022-06-29,1186.0
2022-06-30,1153.0
2022-07-01,1089.0
2022-07-02,1126.0
2022-07-03,1081.0
2022-07-04,1117.0
2022-07-05,1099.0
2022-07-06,1186.0
2022-07-07,1234.0
2022-07-08,1057.0
2022-07-09,1033.0
2022-07-10,1118.0
2022-07-11,1055.0
2022-07-12,1134.0
2022-07-13,1170.0
2022-07-14,1208.0
2022-07-15,1144.0
2022-07-16,1125.0
2022-07-17,1036.0
2022-07-18,1137.0
2022-07-19,1140.0
2022-07-20,1169.0
2022-07-21,1102.0
2022-07-22,1117.0
2022-07-23,1065.0
2022-07-24,1025.0
2022-07-25,1085.0
2022-07-26,1063.0
2022-07-27,1159.0
2022-07-28,1117.0
2022-07-29,1116.0
2022-07-30,1095.0
2022-07-31,983.0
2022-08-01,1221.0
2022-08-02,1096.0
2022-08-03,1126.0
2022-08-04,1075.0
2022-08-05,1197.0
2022-08-06,1156.0
2022-08-07,1108.0
2022-08-08,1131.0
2022-08-09,1235.0
2022-08-10,1148.0
2022-08-11,1143.0
2022-08-12,1106.0
2022-08-13,1059.0
2022-08-14,1146.0
2022-08-15,1171.0
2022-08-16,1211.0
2022-08-17,1044.0
2022-08-18,1101.0
2022-08-19,1129.0
2022-08-20,1158.0
2022-08-21,1152.0
2022-08-22,1154.0
2022-08-23,1181.0
2022-08-24,1116.0
2022-08-25,1209.0
2022-08-26,1184.0
2022-08-27,1147.0
2022-08-28,1244.0
2022-08-29,1242.0
2022-08-30,1212.0
2022-08-31,1015.0
2022-09-01,1246.0
2022-09-02,1207.0
2022-09-03,1268.0
2022-09-04,1231.0
2022-09-05,1248.0
2022-09-06,1214.0
2022-09-07,1238.0
2022-09-08,1271.0
2022-09-09,1183.0
2022-09-10,1094.0
2022-09-11,1158.0
2022-09-12,1194.0
2022-09-13,1179.0
2022-09-14,1113.0
2022-09-15,1095.0
2022-09-16,1140.0
2022-09-17,1218.0
2022-09-18,1257.0
2022-09-19,1225.0
2022-09-20,1233.0
2022-09-21,1176.0
2022-09-22,1094.0
2022-09-23,1159.0
2022-09-24,1170.0
2022-09-25,1158.0
2022-09-26,1187.0
2022-09-27,1207.0
2022-09-28,1228.0
2022-09-29,1172.0
2022-09-30,1091.0
2022-10-01,1163.0
2022-10-02,1190.0
2022-10-03,1250.0
2022-10-04,1161.0
2022-10-05,1216.0
2022-10-06,1205.0
2022-10-07,1194.0
2022-10-08,1239.0
2022-10-09,1160.0
2022-10-10,1165.0
2022-10-11,1194.0
2022-10-12,1163.0
2022-10-13,1221.0
2022-10-14,1160.0
2022-10-15,1208.0
2022-10-16,1193.0
2022-10-17,1209.0
2022-10-18,1176.0
2022-10-19,1183.0
2022-10-20,1205.0
2022-10-21,1211.0
2022-10-22,1201.0
2022-10-23,1288.0
2022-10-24,1153.0
2022-10-25,1200.0
2022-10-26,1126.0
2022-10-27,1224.0
2022-10-28,1150.0
2022-10-29,1193.0
2022-10-30,1189.0
2022-10-31,1222.0
2022-11-01,1181.0
2022-11-02,1179.0
2022-11-03,1282.0
2022-11-04,1225.0
2022-11-05,1183.0
2022-11-06,1199.0
2022-11-07,1295.0
2022-11-08,1202.0
2022-11-09,1180.0
2022-11-10,1180.0
2022-11-11,1188.0
2022-11-12,1186.0
2022-11-13,1153.0
2022-11-14,1161.0
2022-11-15,1177.0
2022-11-16,1248.0
2022-11-17,1200.0
2022-11-18,1210.0
2022-11-19,1284.0
2022-11-20,1286.0
2022-11-21,1208.0
2022-11-22,1191.0
2022-11-23,1180.0
2022-11-24,1259.0
2022-11-25,1215.0
2022-11-26,1206.0
2022-11-27,1186.0
2022-11-28,1189.0
2022-11-29,1244.0
2022-11-30,1163.0
2022-12-01,1279.0
2022-12-02,1203.0
2022-12-03,1223.0
2022-12-04,1164.0
2022-12-05,1231.0
2022-12-06,1216.0
2022-12-07,1231.0
2022-12-08,1307.0
2022-12-09,1243.0
2022-12-10,1196.0
2022-12-11,1200.0
2022-12-12,1266.0
2022-12-13,1302.0
2022-12-14,1252.0
2022-12-15,1273.0
2022-12-16,1270.0
2022-12-17,1311.0
2022-12-18,1143.0
2022-12-19,1275.0
2022-12-20,1291.0
2022-12-21,1176.0
2022-12-22,1199.0
2022-12-23,1202.0
2022-12-24,1208.0
2022-12-25,1221.0
2022-12-26,1258.0
2022-12-27,1290.0
2022-12-28,1302.0
2022-12-29,1206.0
2022-12-30,1207.0
2022-12-31,1315.0
2023-01-01,1283.0
2023-01-02,1255.0
2023-01-03,1275.0
2023-01-04,1251.0
2023-01-05,1279.0
2023-01-06,1237.0
2023-01-07,1268.0
2023-01-08,1180.0
2023-01-09,1221.0
2023-01-10,1223.0
2023-01-11,1238.0
2023-01-12,1212.0
2023-01-13,1232.0
2023-01-14,1184.0
2023-01-15,1287.0
2023-01-16,1257.0
2023-01-17,1176.0
2023-01-18,1220.0
2023-01-19,1280.0
2023-01-20,1236.0
2023-01-21,1229.0
2023-01-22,1261.0
2023-01-23,1283.0
2023-01-24,1194.0
2023-01-25,1294.0
2023-01-26,1227.0
2023-01-27,1267.0
2023-01-28,1267.0
2023-01-29,1243.0
2023-01-30,1219.0
2023-01-31,1257.0
2023-02-01,1353.0
2023-02-02,1204.0
2023-02-03,1358.0
2023-02-04,1261.0
2023-02-05,1276.0
2023-02-06,1221.0
2023-02-07,1237.0
2023-02-08,1251.0
2023-02-09,1225.0
2023-02-10,1267.0
2023-02-11,1258.0
2023-02-12,1372.0
2023-02-13,1222.0
2023-02-14,1286.0
2023-02-15,1294.0
2023-02-16,1228.0
2023-02-17,1317.0
2023-02-18,1263.0
2023-02-19,1159.0
2023-02-20,1318.0
2023-02-21,1229.0
2023-02-22,1234.0
2023-02-23,1321.0
2023-02-24,1270.0
2023-02-25,1334.0
2023-02-26,1349.0
2023-02-27,1257.0
2023-02-28,1330.0
2023-03-01,1253.0
2023-03-02,1403.0
2023-03-03,1258.0
2023-03-04,1344.0
2023-03-05,1336.0
2023-03-06,1310.0
2023-03-07,1261.0
2023-03-08,1288.0
2023-03-09,1189.0
2023-03-10,1308.0
2023-03-11,1315.0
2023-03-12,1305.0
2023-03-13,1150.0
2023-03-14,1236.0
2023-03-15,1263.0
2023-03-16,1316.0
2023-03-17,1316.0
2023-03-18,1294.0
2023-03-19,1335.0
2023-03-20,1253.0
2023-03-21,1335.0
2023-03-22,1329.0
2023-03-23,1325.0
2023-03-24,1297.0
2023-03-25,1399.0
2023-03-26,1333.0
2023-03-27,1260.0
2023-03-28,1322.0
2023-03-29,1348.0
2023-03-30,1281.0
2023-03-31,1366.0
2023-04-01,1331.0
2023-04-02,1196.0
2023-04-03,1328.0
2023-04-04,1294.0
2023-04-05,1342.0
2023-04-06,1363.0
2023-04-07,1326.0
2023-04-08,1400.0
2023-04-09,1309.0
2023-04-10,1349.0
2023-04-11,1359.0
2023-04-12,1315.0
2023-04-13,1359.0
2023-04-14,1291.0
2023-04-15,1301.0
2023-04-16,1257.0
2023-04-17,1335.0
2023-04-18,1340.0
2023-04-19,1383.0
2023-04-20,1365.0
2023-04-21,1312.0
2023-04-22,1268.0
2023-04-23,1349.0
2023-04-24,1383.0
2023-04-25,1366.0
2023-04-26,1383.0
2023-04-27,1319.0
2023-04-28,1307.0
2023-04-29,1294.0
2023-04-30,1329.0
2023-05-01,1329.0
2023-05-02,1344.0
2023-05-03,1328.0
2023-05-04,1328.0
2023-05-05,1297.0
2023-05-06,1383.0
2023-05-07,1341.0
2023-05-08,1329.0
2023-05-09,1301.0
2023-05-10,1272.0
2023-05-11,1405.0
2023-05-12,1368.0
2023-05-13,1260.0
2023-05-14,1380.0
2023-05-15,1388.0
2023-05-16,1349.0
2023-05-17,1424.0
2023-05-18,1355.0
2023-05-19,1274.0
2023-05-20,1364.0
2023-05-21,1359.0
2023-05-22,1317.0
2023-05-23,1376.0
2023-05-24,1265.0
2023-05-25,1399.0
2023-05-26,1306.0
2023-05-27,1301.0
2023-05-28,1345.0
2023-05-29,1374.0
2023-05-30,1361.0
2023-05-31,1316.0
2023-06-01,1329.0
2023-06-02,1298.0
2023-06-03,1344.0
2023-06-04,1410.0
2023-06-05,1356.0
2023-06-06,1400.0
2023-06-07,1431.0
2023-06-08,1329.0
2023-06-09,1350.0
2023-06-10,1469.0
2023-06-11,1433.0
2023-06-12,1278.0
2023-06-13,1381.0
2023-06-14,1363.0
2023-06-15,1405.0
2023-06-16,1327.0
2023-06-17,1323.0
2023-06-18,1332.0
2023-06-19,1338.0
2023-06-20,1408.0
2023-06-21,1309.0
2023-06-22,1337.0
2023-06-23,1280.0
2023-06-24,1420.0
2023-06-25,1434.0
2023-06-26,1355.0
2023-06-27,1357.0
2023-06-28,1395.0
2023-06-29,1447.0
2023-06-30,1394.0
2023-07-01,1340.0
2023-07-02,1294.0
2023-07-03,1320.0
2023-07-04,1380.0
2023-07-05,1344.0
2023-07-06,1388.0
2023-07-07,1351.0
2023-07-08,1326.0
2023-07-09,1321.0
2023-07-10,1459.0
2023-07-11,1426.0
2023-07-12,1469.0
2023-07-13,1410.0
2023-07-14,1362.0
2023-07-15,1450.0
2023-07-16,1383.0
2023-07-17,1397.0
2023-07-18,1384.0
2023-07-19,1239.0
2023-07-20,1468.0
2023-07-21,1413.0
2023-07-22,1405.0
2023-07-23,1386.0
2023-07-24,1398.0
2023-07-25,1361.0
2023-07-26,1422.0
2023-07-27,1327.0
2023-07-28,1402.0
2023-07-29,1422.0
2023-07-30,1384.0
2023-07-31,1414.0
2023-08-01,1346.0
2023-08-02,1348.0
2023-08-03,1409.0
2023-08-04,1432.0
2023-08-05,1305.0
2023-08-06,1425.0
2023-08-07,1373.0
2023-08-08,1391.0
2023-08-09,1334.0
2023-08-10,1359.0
2023-08-11,1451.0
2023-08-12,1405.0
2023-08-13,1385.0
2023-08-14,1399.0
2023-08-15,1430.0
2023-08-16,1428.0
2023-08-17,1403.0
2023-08-18,1462.0
2023-08-19,1457.0
2023-08-20,1429.0
2023-08-21,1412.0
2023-08-22,1443.0
2023-08-23,1427.0
2023-08-24,1465.0
2023-08-25,1457.0
2023-08-26,1362.0
2023-08-27,1359.0
2023-08-28,1379.0
2023-08-29,1464.0
2023-08-30,1337.0
2023-08-31,1436.0
2023-09-01,1435.0
2023-09-02,1476.0
2023-09-03,1427.0
2023-09-04,1352.0
2023-09-05,1372.0
2023-09-06,1361.0
2023-09-07,1394.0
2023-09-08,1413.0
2023-09-09,1364.0
2023-09-10,1497.0
2023-09-11,1358.0
2023-09-12,1492.0
2023-09-13,1484.0
2023-09-14,1471.0
2023-09-15,1392.0
2023-09-16,1444.0
2023-09-17,1364.0
2023-09-18,1474.0
2023-09-19,1426.0
2023-09-20,1410.0
2023-09-21,1370.0
2023-09-22,1308.0
2023-09-23,1380.0
2023-09-24,1488.0
2023-09-25,1413.0
2023-09-26,1426.0
2023-09-27,1468.0
2023-09-28,1526.0
2023-09-29,1502.0
2023-09-30,1388.0
2023-10-01,1340.0
2023-10-02,1556.0
2023-10-03,1552.0
2023-10-04,1449.0
2023-10-05,1377.0
2023-10-06,1489.0
2023-10-07,1436.0
2023-10-08,1437.0
2023-10-09,1488.0
2023-10-10,1460.0
2023-10-11,1385.0
2023-10-12,1429.0
2023-10-13,1479.0
2023-10-14,1472.0
2023-10-15,1460.0
2023-10-16,1495.0
2023-10-17,1430.0
2023-10-18,1458.0
2023-10-19,1281.0
2023-10-20,1428.0
2023-10-21,1489.0
2023-10-22,1432.0
2023-10-23,1429.0
2023-10-24,1401.0
2023-10-25,1504.0
2023-10-26,1482.0
2023-10-27,1497.0
2023-10-28,1370.0
2023-10-29,1449.0
2023-10-30,1443.0
2023-10-31,1444.0
2023-11-01,1428.0
2023-11-02,1442.0
2023-11-03,1503.0
2023-11-04,1365.0
2023-11-05,1550.0
2023-11-06,1486.0
2023-11-07,1461.0
2023-11-08,1509.0
2023-11-09,1392.0
2023-11-10,1432.0
2023-11-11,1460.0
2023-11-12,1535.0
2023-11-13,1465.0
2023-11-14,1490.0
2023-11-15,1439.0
2023-11-16,1493.0
2023-11-17,1554.0
2023-11-18,1520.0
2023-11-19,1467.0
2023-11-20,1506.0
2023-11-21,1501.0
2023-11-22,1499.0
2023-11-23,1530.0
2023-11-24,1530.0
2023-11-25,1469.0
2023-11-26,1508.0
2023-11-27,1458.0
2023-11-28,1431.0
2023-11-29,1465.0
2023-11-30,1475.0
2023-12-01,1396.0
2023-12-02,1523.0
2023-12-03,1342.0
2023-12-04,1617.0
2023-12-05,1557.0
2023-12-06,1470.0
2023-12-07,1484.0
2023-12-08,1499.0
2023-12-09,1455.0
2023-12-10,1495.0
2023-12-11,1479.0
2023-12-12,1482.0
2023-12-13,1497.0
2023-12-14,1423.0
2023-12-15,1491.0
2023-12-16,1498.0
2023-12-17,1497.0
2023-12-18,1480.0
2023-12-19,1549.0
2023-12-20,1475.0
2023-12-21,1505.0
2023-12-22,1559.0
2023-12-23,1491.0
2023-12-24,1506.0
2023-12-25,1491.0
2023-12-26,1558.0
2023-12-27,1484.0
2023-12-28,1562.0
2023-12-29,1493.0
2023-12-30,1456.0
2023-12-31,1534.0
